Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   0		 G 149		 BestInG    8060.314		 AvgOfG 1464250.239		 StDv 1460059.216		 95% ConfInt 1371907.9871556592.492
 R   0		 G 150		 BestInG    8060.314		 AvgOfG 1474011.908		 StDv 1469825.824		 95% ConfInt  1381051.961566971.855
 R   0		 G 151		 BestInG    8060.314		 AvgOfG 1483773.576		 StDv 1479592.431		 95% ConfInt 1390195.9341577351.218
 R   0		 G 152		 BestInG    8060.314		 AvgOfG 1493535.244		 StDv 1489359.037		 95% ConfInt 1399339.908 1587730.58
 R   0		 G 153		 BestInG    8060.314		 AvgOfG 1503296.913		 StDv 1499125.643		 95% ConfInt 1408483.8821598109.943
 R   0		 G 154		 BestInG    8060.314		 AvgOfG 1513058.581		 StDv 1508892.248		 95% ConfInt 1417627.8561608489.306
 R   0		 G 155		 BestInG    8060.314		 AvgOfG 1522820.249		 StDv 1518658.852		 95% ConfInt  1426771.831618868.668
 R   0		 G 156		 BestInG    8060.314		 AvgOfG 1532581.917		 StDv 1528425.455		 95% ConfInt 1435915.8041629248.031
 R   0		 G 157		 BestInG    8060.314		 AvgOfG 1542343.586		 StDv 1538192.058		 95% ConfInt 1445059.7781639627.393
 R   0		 G 158		 BestInG    8060.314		 AvgOfG 1552105.254		 StDv 1547958.661		 95% ConfInt 1454203.7521650006.756
 R   0		 G 159		 BestInG    8060.314		 AvgOfG 1561866.922		 StDv 1557725.262		 95% ConfInt 1463347.7261660386.118
 R   0		 G 160		 BestInG    8060.314		 AvgOfG  1571628.59		 StDv 1567491.863		 95% ConfInt   1472491.7 1670765.48
 R   0		 G 161		 BestInG    8060.314		 AvgOfG 1581390.259		 StDv 1577258.464		 95% ConfInt 1481635.6751681144.843
 R   0		 G 162		 BestInG    8060.314		 AvgOfG 1591151.927		 StDv 1587025.064		 95% ConfInt 1490779.6491691524.205
 R   0		 G 163		 BestInG    8060.314		 AvgOfG 1600913.595		 StDv 1596791.663		 95% ConfInt 1499923.6231701903.567
 R   0		 G 164		 BestInG    8060.314		 AvgOfG 1610675.263		 StDv 1606558.262		 95% ConfInt 1509067.5971712282.929
 R   0		 G 165		 BestInG    8060.314		 AvgOfG 1620436.932		 StDv  1616324.86		 95% ConfInt 1518211.5721722662.292
 R   0		 G 166		 BestInG    8060.314		 AvgOfG   1630198.6		 StDv 1626091.458		 95% ConfInt 1527355.5461733041.654
 R   0		 G 167		 BestInG    8060.314		 AvgOfG 1639960.268		 StDv 1635858.055		 95% ConfInt 1536499.5211743421.016
 R   0		 G 168		 BestInG    8060.314		 AvgOfG 1649721.936		 StDv 1645624.651		 95% ConfInt 1545643.4951753800.378
 R   0		 G 169		 BestInG    8060.314		 AvgOfG 1659483.605		 StDv 1655391.248		 95% ConfInt  1554787.47 1764179.74
 R   0		 G 170		 BestInG    8060.314		 AvgOfG 1669245.273		 StDv 1665157.843		 95% ConfInt 1563931.4441774559.102
 R   0		 G 171		 BestInG    8060.314		 AvgOfG 1679006.941		 StDv 1674924.438		 95% ConfInt 1573075.4191784938.464
 R   0		 G 172		 BestInG    8060.314		 AvgOfG  1688768.61		 StDv 1684691.033		 95% ConfInt 1582219.3931795317.826
 R   0		 G 173		 BestInG    8060.314		 AvgOfG 1698530.278		 StDv 1694457.627		 95% ConfInt 1591363.3681805697.188
 R   0		 G 174		 BestInG    8060.314		 AvgOfG 1708291.946		 StDv  1704224.22		 95% ConfInt 1600507.342 1816076.55
 R   0		 G 175		 BestInG    8060.314		 AvgOfG 1718053.614		 StDv 1713990.814		 95% ConfInt 1609651.3171826455.912
 R   0		 G 176		 BestInG    8060.314		 AvgOfG 1727815.283		 StDv 1723757.406		 95% ConfInt 1618795.2921836835.273
 R   0		 G 177		 BestInG    8060.314		 AvgOfG 1737576.951		 StDv 1733523.999		 95% ConfInt 1627939.2671847214.635
 R   0		 G 178		 BestInG    8060.314		 AvgOfG 1747338.619		 StDv  1743290.59		 95% ConfInt 1637083.2411857593.997
 R   0		 G 179		 BestInG    8060.314		 AvgOfG 1757100.287		 StDv 1753057.182		 95% ConfInt 1646227.2161867973.359
 R   0		 G 180		 BestInG    8060.314		 AvgOfG 1766861.956		 StDv 1762823.773		 95% ConfInt 1655371.191 1878352.72
 R   0		 G 181		 BestInG    8060.314		 AvgOfG 1776623.624		 StDv 1772590.363		 95% ConfInt 1664515.1661888732.082
 R   0		 G 182		 BestInG    8060.314		 AvgOfG 1786385.292		 StDv 1782356.953		 95% ConfInt 1673659.1411899111.444
 R   0		 G 183		 BestInG    8060.314		 AvgOfG  1796146.96		 StDv 1792123.543		 95% ConfInt 1682803.1161909490.805
 R   0		 G 184		 BestInG    8060.314		 AvgOfG 1805908.629		 StDv 1801890.132		 95% ConfInt  1691947.091919870.167
