Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
29             4212734.13          8124.61             2773592.7           54.86               8075.54             8173.68             
30             4222539.69          8124.61             2773605.61          54.86               8075.54             8173.68             
31             4232345.25          8124.61             2773618.52          54.86               8075.54             8173.68             
32             4242150.81          8124.61             2773631.43          54.86               8075.54             8173.68             
33             4251956.37          8124.61             2773644.34          54.86               8075.54             8173.68             
34             4261761.93          8124.61             2773657.25          54.86               8075.54             8173.68             
35             4271567.49          8124.61             2773670.16          54.86               8075.54             8173.68             
36             4281373.05          8124.61             2773683.08          54.86               8075.54             8173.68             
37             4291178.61          8124.61             2773695.99          54.86               8075.54             8173.68             
38             4300984.17          8124.61             2773708.9           54.86               8075.54             8173.68             
39             4310789.73          8124.61             2773721.81          54.86               8075.54             8173.68             
40             4320595.28          8124.61             2773734.72          54.86               8075.54             8173.68             
41             4330400.84          8124.61             2773747.63          54.86               8075.54             8173.68             
42             4340206.4           8124.61             2773760.54          54.86               8075.54             8173.68             
43             4350011.96          8124.61             2773773.46          54.86               8075.54             8173.68             
44             4359817.52          8124.61             2773786.37          54.86               8075.54             8173.68             
45             4369623.08          8124.61             2773799.28          54.86               8075.54             8173.68             
46             4379428.64          8124.61             2773812.19          54.86               8075.54             8173.68             
47             4389234.2           8124.61             2773825.11          54.86               8075.54             8173.68             
48             4399039.76          8124.61             2773838.02          54.86               8075.54             8173.68             
49             4408845.32          8124.61             2773850.93          54.86               8075.54             8173.68             
50             4418650.88          8124.61             2773863.85          54.86               8075.54             8173.68             
51             4428456.43          8124.61             2773876.76          54.86               8075.54             8173.68             
52             4438261.99          8124.61             2773889.67          54.86               8075.54             8173.68             
53             4448067.55          8124.61             2773902.59          54.86               8075.54             8173.68             
54             4457873.11          8124.61             2773915.5           54.86               8075.54             8173.68             
55             4467678.67          8124.61             2773928.41          54.86               8075.54             8173.68             
56             4477484.23          8124.61             2773941.33          54.86               8075.54             8173.68             
57             4487289.79          8124.61             2773954.24          54.86               8075.54             8173.68             
58             4497095.35          8124.61             2773967.16          54.86               8075.54             8173.68             
59             4506900.91          8124.61             2773980.07          54.86               8075.54             8173.68             
60             4516706.47          8124.61             2773992.99          54.86               8075.54             8173.68             
61             4526512.03          8124.61             2774005.9           54.86               8075.54             8173.68             
62             4536317.59          8124.61             2774018.82          54.86               8075.54             8173.68             
63             4546123.14          8124.61             2774031.73          54.86               8075.54             8173.68             
64             4555928.7           8124.61             2774044.65          54.86               8075.54             8173.68             
65             4565734.26          8124.61             2774057.57          54.86               8075.54             8173.68             
66             4575539.82          8124.61             2774070.48          54.86               8075.54             8173.68             
67             4585345.38          8124.61             2774083.4           54.86               8075.54             8173.68             
68             4595150.94          8124.61             2774096.31          54.86               8075.54             8173.68             
69             4604956.5           8124.61             2774109.23          54.86               8075.54             8173.68             
70             4614762.06          8124.61             2774122.15          54.86               8075.54             8173.68             
71             4624567.62          8124.61             2774135.06          54.86               8075.54             8173.68             
72             4634373.18          8124.61             2774147.98          54.86               8075.54             8173.68             
73             4644178.74          8124.61             2774160.9           54.86               8075.54             8173.68             
74             4653984.29          8124.61             2774173.82          54.86               8075.54             8173.68             
75             4663789.85          8124.61             2774186.73          54.86               8075.54             8173.68             
76             4673595.41          8124.61             2774199.65          54.86               8075.54             8173.68             
77             4683400.97          8124.61             2774212.57          54.86               8075.54             8173.68             
78             4693206.53          8124.61             2774225.49          54.86               8075.54             8173.68             
79             4703012.09          8124.61             2774238.41          54.86               8075.54             8173.68             
80             4712817.65          8124.61             2774251.32          54.86               8075.54             8173.68             
81             4722623.21          8124.61             2774264.24          54.86               8075.54             8173.68             
82             4732428.77          8124.61             2774277.16          54.86               8075.54             8173.68             
83             4742234.33          8124.61             2774290.08          54.86               8075.54             8173.68             
84             4752039.89          8124.61             2774303.0           54.86               8075.54             8173.68             
85             4761845.44          8124.61             2774315.92          54.86               8075.54             8173.68             
86             4771651.0           8124.61             2774328.84          54.86               8075.54             8173.68             
87             4781456.56          8124.61             2774341.76          54.86               8075.54             8173.68             
88             4791262.12          8124.61             2774354.68          54.86               8075.54             8173.68             
89             4801067.68          8124.61             2774367.6           54.86               8075.54             8173.68             
90             4810873.24          8124.61             2774380.52          54.86               8075.54             8173.68             
91             4820678.8           8124.61             2774393.44          54.86               8075.54             8173.68             
92             4830484.36          8124.61             2774406.36          54.86               8075.54             8173.68             
93             4840289.92          8124.61             2774419.28          54.86               8075.54             8173.68             
94             4850095.48          8124.61             2774432.2           54.86               8075.54             8173.68             
95             4859901.04          8124.61             2774445.12          54.86               8075.54             8173.68             
96             4869706.6           8124.61             2774458.05          54.86               8075.54             8173.68             
97             4879512.15          8124.61             2774470.97          54.86               8075.54             8173.68             
98             4889317.71          8124.61             2774483.89          54.86               8075.54             8173.68             
99             4899123.27          8124.61             2774496.81          54.86               8075.54             8173.68             
100            4908928.83          8124.61             2774509.73          54.86               8075.54             8173.68             
101            4918734.39          8124.61             2774522.65          54.86               8075.54             8173.68             
102            4928539.95          8124.61             2774535.58          54.86               8075.54             8173.68             
103            4938345.51          8124.61             2774548.5           54.86               8075.54             8173.68             
104            4948151.07          8124.61             2774561.42          54.86               8075.54             8173.68             
105            4957956.63          8124.61             2774574.35          54.86               8075.54             8173.68             
106            4967762.19          8124.61             2774587.27          54.86               8075.54             8173.68             
107            4977567.75          8124.61             2774600.19          54.86               8075.54             8173.68             
108            4987373.3           8124.61             2774613.12          54.86               8075.54             8173.68             
109            4997178.86          8124.61             2774626.04          54.86               8075.54             8173.68             
110            5006984.42          8124.61             2774638.96          54.86               8075.54             8173.68             
111            5016789.98          8124.61             2774651.89          54.86               8075.54             8173.68             
112            5026595.54          8124.61             2774664.81          54.86               8075.54             8173.68             
113            5036401.1           8124.61             2774677.74          54.86               8075.54             8173.68             
114            5046206.66          8124.61             2774690.66          54.86               8075.54             8173.68             
115            5056012.22          8124.61             2774703.58          54.86               8075.54             8173.68             
116            5065817.78          8124.61             2774716.51          54.86               8075.54             8173.68             
117            5075623.34          8124.61             2774729.43          54.86               8075.54             8173.68             
118            5085428.9           8124.61             2774742.36          54.86               8075.54             8173.68             
119            5095234.45          8124.61             2774755.28          54.86               8075.54             8173.68             
120            5105040.01          8124.61             2774768.21          54.86               8075.54             8173.68             
121            5114845.57          8124.61             2774781.14          54.86               8075.54             8173.68             
122            5124651.13          8124.61             2774794.06          54.86               8075.54             8173.68             
123            5134456.69          8124.61             2774806.99          54.86               8075.54             8173.68             
124            5144262.25          8124.61             2774819.91          54.86               8075.54             8173.68             
125            5154067.81          8124.61             2774832.84          54.86               8075.54             8173.68             
126            5163873.37          8124.61             2774845.77          54.86               8075.54             8173.68             
127            5173678.93          8124.61             2774858.69          54.86               8075.54             8173.68             
128            5183484.49          8124.61             2774871.62          54.86               8075.54             8173.68             
129            5193290.05          8124.61             2774884.55          54.86               8075.54             8173.68             
130            5203095.61          8124.61             2774897.48          54.86               8075.54             8173.68             
131            5212901.16          8124.61             2774910.4           54.86               8075.54             8173.68             
132            5222706.72          8124.61             2774923.33          54.86               8075.54             8173.68             
133            5232512.28          8124.61             2774936.26          54.86               8075.54             8173.68             
134            5242317.84          8124.61             2774949.19          54.86               8075.54             8173.68             
135            5252123.4           8124.61             2774962.11          54.86               8075.54             8173.68             
136            5261928.96          8124.61             2774975.04          54.86               8075.54             8173.68             
137            5271734.52          8124.61             2774987.97          54.86               8075.54             8173.68             
138            5281540.08          8124.61             2775000.9           54.86               8075.54             8173.68             
139            5291345.64          8124.61             2775013.83          54.86               8075.54             8173.68             
140            5301151.2           8124.61             2775026.76          54.86               8075.54             8173.68             
141            5310956.76          8124.61             2775039.69          54.86               8075.54             8173.68             
142            5320762.31          8124.61             2775052.62          54.86               8075.54             8173.68             
143            5330567.87          8124.61             2775065.55          54.86               8075.54             8173.68             
144            5340373.43          8124.61             2775078.48          54.86               8075.54             8173.68             
145            5350178.99          8124.61             2775091.41          54.86               8075.54             8173.68             
146            5359984.55          8124.61             2775104.34          54.86               8075.54             8173.68             
147            5369790.11          8124.61             2775117.27          54.86               8075.54             8173.68             
148            5379595.67          8124.61             2775130.2           54.86               8075.54             8173.68             
149            5389401.23          8124.61             2775143.13          54.86               8075.54             8173.68             
150            5399206.79          8124.61             2775156.06          54.86               8075.54             8173.68             
151            5409012.35          8124.61             2775168.99          54.86               8075.54             8173.68             
152            5418817.91          8124.61             2775181.92          54.86               8075.54             8173.68             
153            5428623.46          8124.61             2775194.85          54.86               8075.54             8173.68             
154            5438429.02          8124.61             2775207.78          54.86               8075.54             8173.68             
155            5448234.58          8124.61             2775220.72          54.86               8075.54             8173.68             
156            5458040.14          8124.61             2775233.65          54.86               8075.54             8173.68             
157            5467845.7           8124.61             2775246.58          54.86               8075.54             8173.68             
158            5477651.26          8124.61             2775259.51          54.86               8075.54             8173.68             
159            5487456.82          8124.61             2775272.44          54.86               8075.54             8173.68             
160            5497262.38          8124.61             2775285.38          54.86               8075.54             8173.68             
161            5507067.94          8124.61             2775298.31          54.86               8075.54             8173.68             
162            5516873.5           8124.61             2775311.24          54.86               8075.54             8173.68             
163            5526679.06          8124.61             2775324.18          54.86               8075.54             8173.68             
164            5536484.62          8124.61             2775337.11          54.86               8075.54             8173.68             
165            5546290.17          8124.61             2775350.04          54.86               8075.54             8173.68             
166            5556095.73          8124.61             2775362.98          54.86               8075.54             8173.68             
167            5565901.29          8124.61             2775375.91          54.86               8075.54             8173.68             
168            5575706.85          8124.61             2775388.84          54.86               8075.54             8173.68             
169            5585512.41          8124.61             2775401.78          54.86               8075.54             8173.68             
170            5595317.97          8124.61             2775414.71          54.86               8075.54             8173.68             
171            5605123.53          8124.61             2775427.65          54.86               8075.54             8173.68             
172            5614929.09          8124.61             2775440.58          54.86               8075.54             8173.68             
173            5624734.65          8124.61             2775453.52          54.86               8075.54             8173.68             
174            5634540.21          8124.61             2775466.45          54.86               8075.54             8173.68             
175            5644345.77          8124.61             2775479.39          54.86               8075.54             8173.68             
176            5654151.32          8124.61             2775492.32          54.86               8075.54             8173.68             
177            5663956.88          8124.61             2775505.26          54.86               8075.54             8173.68             
178            5673762.44          8124.61             2775518.19          54.86               8075.54             8173.68             
179            5683568.0           8124.61             2775531.13          54.86               8075.54             8173.68             
180            5693373.56          8124.61             2775544.06          54.86               8075.54             8173.68             
181            5703179.12          8124.61             2775557.0           54.86               8075.54             8173.68             
182            5712984.68          8124.61             2775569.94          54.86               8075.54             8173.68             
183            5722790.24          8124.61             2775582.87          54.86               8075.54             8173.68             
184            5732595.8           8124.61             2775595.81          54.86               8075.54             8173.68             
185            5742401.36          8124.61             2775608.75          54.86               8075.54             8173.68             
186            5752206.92          8124.61             2775621.69          54.86               8075.54             8173.68             
187            5762012.48          8124.61             2775634.62          54.86               8075.54             8173.68             
188            5771818.03          8124.61             2775647.56          54.86               8075.54             8173.68             
189            5781623.59          8124.61             2775660.5           54.86               8075.54             8173.68             
190            5791429.15          8124.61             2775673.44          54.86               8075.54             8173.68             
191            5801234.71          8124.61             2775686.37          54.86               8075.54             8173.68             
192            5811040.27          8124.61             2775699.31          54.86               8075.54             8173.68             
193            5820845.83          8124.61             2775712.25          54.86               8075.54             8173.68             
194            5830651.39          8124.61             2775725.19          54.86               8075.54             8173.68             
195            5840456.95          8124.61             2775738.13          54.86               8075.54             8173.68             
196            5850262.51          8124.61             2775751.07          54.86               8075.54             8173.68             
197            5860068.07          8124.61             2775764.01          54.86               8075.54             8173.68             
198            5869873.63          8124.61             2775776.94          54.86               8075.54             8173.68             
199            5879679.18          8124.61             2775789.88          54.86               8075.54             8173.68             

Best Each Run: Average		8124.0              Best Each Run: StDv	98.45               Best Each Run: 95%ConInt	8035.95             8212.05             
