Experiment ID                :  onemax
Problem Type                 :  OM
Data Input File Name         :  NA
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  1
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  9.0E-4
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  100


 R   1		 G 142		 BestInG     100		 AvgOfG       99.91		 StDv       0.321		 95% ConfInt      99.846     99.974
 R   1		 G 143		 BestInG     100		 AvgOfG       99.88		 StDv       0.356		 95% ConfInt      99.809     99.951
 R   1		 G 144		 BestInG     100		 AvgOfG       99.89		 StDv       0.345		 95% ConfInt      99.821     99.959
 R   1		 G 145		 BestInG     100		 AvgOfG       99.89		 StDv       0.314		 95% ConfInt      99.827     99.953
 R   1		 G 146		 BestInG     100		 AvgOfG       99.89		 StDv       0.345		 95% ConfInt      99.821     99.959
 R   1		 G 147		 BestInG     100		 AvgOfG       99.86		 StDv       0.349		 95% ConfInt       99.79      99.93
 R   1		 G 148		 BestInG     100		 AvgOfG       99.88		 StDv       0.327		 95% ConfInt      99.815     99.945
 R   1		 G 149		 BestInG     100		 AvgOfG       99.86		 StDv       0.377		 95% ConfInt      99.785     99.935
 R   1		 G 150		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G 151		 BestInG     100		 AvgOfG        99.9		 StDv       0.333		 95% ConfInt      99.833     99.967
 R   1		 G 152		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G 153		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G 154		 BestInG     100		 AvgOfG       99.89		 StDv       0.314		 95% ConfInt      99.827     99.953
 R   1		 G 155		 BestInG     100		 AvgOfG        99.9		 StDv       0.333		 95% ConfInt      99.833     99.967
 R   1		 G 156		 BestInG     100		 AvgOfG       99.91		 StDv       0.288		 95% ConfInt      99.852     99.968
 R   1		 G 157		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G 158		 BestInG     100		 AvgOfG       99.84		 StDv        0.42		 95% ConfInt      99.756     99.924
 R   1		 G 159		 BestInG     100		 AvgOfG       99.83		 StDv       0.403		 95% ConfInt      99.749     99.911
 R   1		 G 160		 BestInG     100		 AvgOfG       99.88		 StDv       0.327		 95% ConfInt      99.815     99.945
 R   1		 G 161		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G 162		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G 163		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G 164		 BestInG     100		 AvgOfG       99.84		 StDv       0.395		 95% ConfInt      99.761     99.919
 R   1		 G 165		 BestInG     100		 AvgOfG       99.83		 StDv       0.493		 95% ConfInt      99.731     99.929
 R   1		 G 166		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G 167		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G 168		 BestInG     100		 AvgOfG       99.91		 StDv       0.321		 95% ConfInt      99.846     99.974
 R   1		 G 169		 BestInG     100		 AvgOfG       99.92		 StDv       0.273		 95% ConfInt      99.865     99.975
 R   1		 G 170		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G 171		 BestInG     100		 AvgOfG       99.88		 StDv       0.356		 95% ConfInt      99.809     99.951
 R   1		 G 172		 BestInG     100		 AvgOfG       99.88		 StDv       0.327		 95% ConfInt      99.815     99.945
 R   1		 G 173		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G 174		 BestInG     100		 AvgOfG       99.91		 StDv       0.321		 95% ConfInt      99.846     99.974
 R   1		 G 175		 BestInG     100		 AvgOfG       99.85		 StDv       0.411		 95% ConfInt      99.768     99.932
 R   1		 G 176		 BestInG     100		 AvgOfG       99.94		 StDv       0.239		 95% ConfInt      99.892     99.988
 R   1		 G 177		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G 178		 BestInG     100		 AvgOfG        99.9		 StDv       0.302		 95% ConfInt       99.84      99.96
 R   1		 G 179		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G 180		 BestInG     100		 AvgOfG       99.93		 StDv       0.256		 95% ConfInt      99.879     99.981
 R   1		 G 181		 BestInG     100		 AvgOfG       99.91		 StDv       0.321		 95% ConfInt      99.846     99.974
 R   1		 G 182		 BestInG     100		 AvgOfG       99.88		 StDv       0.383		 95% ConfInt      99.803     99.957
 R   1		 G 183		 BestInG     100		 AvgOfG        99.9		 StDv       0.333		 95% ConfInt      99.833     99.967
